[2020-06-02 20:37:04,899 - /home/nivea/Documentos/projetos/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões[2020-06-11 22:51:58,460 - app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-11 22:51:58,504 - app.py - INFO]: Inicializando a poll de conexões
[2020-06-11 22:51:59,036 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-11 22:51:59,077 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-12 15:18:10,831 - ./Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-12 15:18:10,914 - ./Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-12 15:18:11,279 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-12 15:18:11,342 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-12 15:22:11,931 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-12 15:22:11,989 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-12 15:22:57,944 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-12 15:22:58,000 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-12 15:24:49,780 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-12 15:24:49,827 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-12 15:26:07,167 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-12 15:26:07,225 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-12 15:26:20,901 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-12 15:26:20,946 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-12 15:27:13,033 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-12 15:27:13,089 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-12 15:28:26,358 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-12 15:28:26,409 - /home/rapha/programing/LabNet/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 17:28:52,928 - app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 17:28:53,066 - app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 17:29:22,140 - app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 17:29:22,191 - app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 17:29:41,456 - app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 17:29:41,503 - app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 17:29:59,677 - app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 17:29:59,722 - app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 17:30:51,565 - app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 17:30:51,608 - app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 17:30:52,198 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 17:30:52,263 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 17:56:06,832 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 17:56:06,945 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 17:57:51,002 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 17:57:51,049 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 18:03:39,910 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 18:03:39,952 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 18:04:03,756 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 18:04:03,809 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 18:11:46,321 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 18:11:46,419 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 18:19:45,173 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
[2020-06-19 18:19:45,223 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Inicializando a poll de conexões
[2020-06-19 18:22:29,959 - /media/sidney/Novo volume/Git/EducacaoPermanente/Flask/app.py - INFO]: Estabelecendo conexão com o banco de dados
